sample,dialysis_peak,centrifuge_peak,redshift_dialysis,redshift_centrifuge,relative_shift
0.115 MB MQW,519.469696969678,518.8943661971899,-0.5303030303219884,-1.1056338028100754,-0.575330772488087
0.30 MB MQW,534.6851851851889,534.0138888888895,14.685185185188857,14.013888888889483,-0.6712962962993743
0.115 MB As30,518.8392857142868,518.8953488372005,-1.1607142857131976,-1.1046511627995415,0.056063122913656116
0.30 MB As30,528.9444444444313,529.0319148936186,8.94444444443127,9.031914893618591,0.08747044918732172
