pair,dial_red_tail,dial_peak_position,dial_aggregation_index,dial_baseline_slope,cent_red_tail,cent_peak_position,cent_aggregation_index,cent_baseline_slope,delta_red_tail,delta_peak_position,delta_aggregation_index,delta_baseline_slope
0.115 MB MQW,0.09696450980392156,519.0,0.6443683539961776,-0.0002480875946418174,0.048749607843137255,519.0,0.2890575759921271,-0.00031747350029120573,-0.048214901960784304,0.0,-0.35531077800405053,-6.938590564938832e-05
0.30 MB MQW,0.09130941176470588,535.0,1.0937856793345297,7.346278392545135e-05,0.10045960784313725,534.0,1.066148538646407,3.024950495049498e-05,0.009150196078431372,-1.0,-0.02763714068812284,-4.321327897495637e-05
0.115 MB As30,0.08034823529411765,519.0,0.4789960548817311,-0.0005685615608619694,0.04564313725490196,519.0,0.2691555956857585,-0.00030986057076295894,-0.03470509803921569,0.0,-0.2098404591959726,0.00025870099009901043
0.30 MB As30,0.1336827450980392,529.0,1.2148535409101062,9.677635410599868e-05,0.09439215686274509,529.0,1.0431591220155116,-1.0234944670937777e-05,-0.03929058823529412,0.0,-0.17169441889459458,-0.00010701129877693646
