sample,dialysis_peak,centrifuge_peak,redshift
0.115 MB MQW,519.469696969678,518.8943661971899,-0.575330772488087
0.30 MB MQW,534.6851851851889,534.0138888888895,-0.6712962962993743
0.115 MB As30,518.8392857142868,518.8953488372005,0.056063122913656116
0.30 MB As30,528.9444444444313,529.0319148936186,0.08747044918732172
