Wavelength,0.115MB_AuNP_MQW,0.115MB_cenAuNP_MQW,0.30MB_AuNP_MQW,0.30MB_cenAuNP_MQW,0.115MB_AuNP_As30,0.115MB_cenAuNP_As30,0.30MB_AuNP_As30_1,0.30MB_cenAuNP_As30
269.0,0.19601,0.19983,0.10584,0.13261,0.19898,0.20063,0.13554,0.11824
270.0,0.19495,0.19853,0.10555,0.13175,0.19796,0.19941,0.13542,0.11805
271.0,0.19399,0.19734,0.10523,0.13115,0.19691,0.19823,0.13504,0.11794
272.0,0.19289,0.19627,0.10499,0.13055,0.19584,0.19714,0.1346,0.11797
273.0,0.19217,0.19671,0.10479,0.12991,0.19519,0.19752,0.13451,0.11783
274.0,0.19235,0.1953,0.1044,0.12939,0.19524,0.1962,0.13421,0.11776
275.0,0.19109,0.19392,0.10414,0.12873,0.19401,0.19482,0.13395,0.11762
276.0,0.1899,0.1926,0.10395,0.12824,0.19284,0.19352,0.13357,0.11769
277.0,0.18868,0.19124,0.10382,0.12784,0.19158,0.19207,0.13339,0.11766
278.0,0.18757,0.18981,0.10362,0.12736,0.19042,0.19071,0.13316,0.11764
279.0,0.18627,0.18834,0.10339,0.12689,0.18907,0.18933,0.13286,0.11761
280.0,0.18506,0.18709,0.10327,0.12641,0.18784,0.18802,0.13253,0.11759
281.0,0.18379,0.18565,0.10309,0.12615,0.18652,0.18668,0.13215,0.11772
282.0,0.18281,0.1845,0.10282,0.12589,0.18545,0.18541,0.13189,0.1177
283.0,0.18162,0.18311,0.10257,0.1256,0.18426,0.18413,0.13166,0.11781
284.0,0.18046,0.18174,0.10241,0.12516,0.18312,0.18285,0.13145,0.11778
285.0,0.17925,0.18049,0.10204,0.12469,0.1818,0.18149,0.13109,0.1178
286.0,0.1782,0.17927,0.10185,0.12462,0.18066,0.18035,0.13079,0.11793
287.0,0.17713,0.17806,0.10155,0.12426,0.17957,0.17912,0.13049,0.11795
288.0,0.17598,0.17686,0.10138,0.12399,0.17849,0.17797,0.13026,0.11798
289.0,0.17498,0.17569,0.10104,0.12347,0.17737,0.17672,0.12996,0.11778
290.0,0.17388,0.17442,0.1008,0.1231,0.1763,0.17559,0.12966,0.11771
291.0,0.1729,0.17332,0.10048,0.12272,0.17517,0.17438,0.1292,0.11744
292.0,0.17193,0.17229,0.10028,0.12234,0.17431,0.1733,0.12886,0.11722
293.0,0.17097,0.17124,0.09992,0.12167,0.17322,0.17228,0.12844,0.11673
294.0,0.16989,0.17011,0.09942,0.12101,0.17218,0.17125,0.12782,0.11626
295.0,0.16891,0.16914,0.09907,0.12038,0.17109,0.17013,0.12722,0.11575
296.0,0.16805,0.16811,0.09872,0.11973,0.17014,0.16913,0.12669,0.11507
297.0,0.16699,0.16718,0.09827,0.11882,0.16906,0.16808,0.12601,0.11432
298.0,0.16607,0.16616,0.09774,0.11802,0.16798,0.16709,0.12534,0.11344
299.0,0.16515,0.16517,0.09732,0.11717,0.16697,0.16601,0.12465,0.1127
300.0,0.16415,0.16422,0.09674,0.11635,0.16589,0.16504,0.12386,0.11196
301.0,0.1634,0.16334,0.09636,0.11554,0.16502,0.16404,0.12326,0.11104
302.0,0.16245,0.16258,0.09591,0.1147,0.16401,0.16323,0.12251,0.11028
303.0,0.16161,0.1615,0.09542,0.11384,0.16306,0.16215,0.12191,0.10946
304.0,0.16079,0.16071,0.09505,0.11316,0.16206,0.16126,0.1212,0.10888
305.0,0.15985,0.15992,0.09458,0.11251,0.16104,0.16042,0.12051,0.10815
306.0,0.15914,0.1593,0.0942,0.11189,0.16021,0.15963,0.11989,0.10758
307.0,0.1584,0.15847,0.09387,0.1113,0.1594,0.15884,0.11933,0.10707
308.0,0.15751,0.15758,0.09347,0.11071,0.15839,0.15793,0.11871,0.10652
309.0,0.15677,0.1569,0.09318,0.11013,0.15747,0.15722,0.11815,0.10616
310.0,0.1561,0.15622,0.09297,0.10974,0.15673,0.15639,0.11769,0.10569
311.0,0.15538,0.15563,0.09266,0.10933,0.15586,0.15571,0.11725,0.10548
312.0,0.15468,0.15477,0.09245,0.10887,0.15518,0.15499,0.11682,0.10511
313.0,0.15383,0.1541,0.09217,0.10836,0.1541,0.15413,0.11629,0.10487
314.0,0.15316,0.15345,0.09187,0.10814,0.15343,0.15359,0.11578,0.10457
315.0,0.15255,0.15293,0.09168,0.10783,0.15271,0.15282,0.11549,0.10441
316.0,0.15207,0.15226,0.09163,0.10758,0.15213,0.15237,0.11518,0.10418
317.0,0.15125,0.15157,0.09123,0.10704,0.15123,0.15154,0.11474,0.10372
318.0,0.1506,0.15092,0.09103,0.10678,0.1505,0.15087,0.11433,0.10353
319.0,0.14992,0.15037,0.09082,0.10664,0.14997,0.15036,0.11394,0.10331
320.0,0.14943,0.14991,0.09072,0.10645,0.14929,0.1498,0.11365,0.10311
321.0,0.14878,0.14918,0.09038,0.10599,0.14857,0.14921,0.11321,0.10275
322.0,0.14819,0.14857,0.0901,0.10557,0.14788,0.14854,0.11296,0.1025
323.0,0.14754,0.14808,0.08999,0.10554,0.14732,0.14809,0.11261,0.10238
324.0,0.14723,0.14761,0.08988,0.10527,0.14692,0.14749,0.11244,0.10208
325.0,0.14651,0.14706,0.08955,0.10495,0.14621,0.14696,0.11197,0.10185
326.0,0.14606,0.14648,0.08932,0.10456,0.14575,0.14646,0.1118,0.10144
327.0,0.14538,0.14592,0.08911,0.10437,0.14512,0.14597,0.11147,0.10129
328.0,0.14494,0.14546,0.08894,0.10415,0.14464,0.14548,0.11118,0.10104
329.0,0.14447,0.14501,0.08876,0.10386,0.14419,0.14499,0.11077,0.10067
330.0,0.1441,0.14461,0.0885,0.10346,0.14371,0.14452,0.11052,0.10031
331.0,0.14361,0.14397,0.08834,0.10317,0.14329,0.14403,0.11037,0.0999
332.0,0.1429,0.14342,0.0882,0.10292,0.14271,0.14354,0.11012,0.09965
333.0,0.14259,0.14309,0.08796,0.10264,0.14237,0.1431,0.10968,0.09923
334.0,0.14214,0.14274,0.08764,0.10227,0.14194,0.14263,0.10935,0.09886
335.0,0.14177,0.14218,0.08766,0.10203,0.14166,0.14232,0.10926,0.09842
336.0,0.14111,0.14167,0.08729,0.10172,0.14109,0.14181,0.10887,0.09815
337.0,0.14076,0.14127,0.08727,0.10138,0.14072,0.14143,0.10872,0.09785
338.0,0.14045,0.14096,0.08699,0.10122,0.14046,0.14097,0.10836,0.09742
339.0,0.14011,0.14064,0.08691,0.10095,0.14015,0.14066,0.10816,0.09718
340.0,0.13971,0.14011,0.08676,0.10063,0.13993,0.14031,0.10801,0.09679
341.0,0.13925,0.13969,0.08652,0.10035,0.13944,0.13983,0.10779,0.09668
342.0,0.13909,0.13933,0.08644,0.10017,0.13921,0.13952,0.10758,0.09622
343.0,0.13873,0.13913,0.0862,0.10001,0.13891,0.13915,0.10732,0.09606
344.0,0.13843,0.13864,0.08618,0.09982,0.13878,0.13896,0.10716,0.09577
345.0,0.13809,0.13831,0.08582,0.09955,0.13846,0.13843,0.10716,0.09555
346.0,0.1378,0.13803,0.08587,0.09939,0.13816,0.13828,0.10686,0.09552
