Wavelength,0,10,20,30,40,60
800,0.09808,0.12733,0.10106,0.09548,0.09155,0.11532
799,0.09765,0.12708,0.10099,0.09545,0.09156,0.11509
798,0.0981,0.12718,0.10118,0.09571,0.09184,0.11528
797,0.09801,0.12688,0.10131,0.09598,0.0919,0.11548
796,0.09811,0.12709,0.10176,0.09637,0.09222,0.11572
795,0.09795,0.12684,0.10225,0.09629,0.09215,0.11522
794,0.09792,0.12696,0.10252,0.09674,0.09244,0.1156
793,0.0981,0.12713,0.10291,0.09702,0.09261,0.11551
792,0.09799,0.12659,0.1031,0.09707,0.09271,0.11562
791,0.09804,0.12692,0.1036,0.09736,0.09279,0.11572
790,0.09793,0.12702,0.10343,0.09749,0.09307,0.11558
789,0.09813,0.12706,0.10406,0.09793,0.09297,0.11591
788,0.09837,0.1272,0.10434,0.09817,0.09335,0.11613
787,0.09758,0.12674,0.10467,0.09803,0.09292,0.11576
786,0.09843,0.12734,0.10461,0.09847,0.09355,0.11613
785,0.09773,0.12718,0.10511,0.09869,0.09361,0.116
784,0.09786,0.12696,0.10548,0.09897,0.09335,0.11606
783,0.09775,0.12697,0.10591,0.09885,0.09371,0.11613
782,0.09806,0.12712,0.10621,0.09937,0.09368,0.1165
781,0.09782,0.12706,0.10601,0.09908,0.09384,0.11594
780,0.09756,0.12671,0.10651,0.09947,0.09358,0.11639
779,0.09753,0.12686,0.10718,0.09982,0.09426,0.11641
778,0.09737,0.12647,0.10693,0.09993,0.09424,0.11651
777,0.09765,0.12694,0.10725,0.10035,0.09435,0.11642
776,0.09721,0.12666,0.10754,0.10031,0.09446,0.11636
775,0.09734,0.12681,0.10869,0.10097,0.09503,0.11662
774,0.09788,0.12736,0.10902,0.10185,0.09602,0.11746
773,0.09799,0.12713,0.10912,0.10226,0.09579,0.11756
772,0.09782,0.12728,0.10956,0.10214,0.09603,0.11727
771,0.09758,0.12712,0.1096,0.10251,0.09618,0.11716
770,0.09652,0.12707,0.10914,0.10186,0.09566,0.11607
769,0.09634,0.1258,0.10914,0.1019,0.09561,0.11582
768,0.09637,0.12591,0.10973,0.10238,0.09574,0.11598
767,0.09616,0.12555,0.10983,0.1022,0.09592,0.11581
766,0.09605,0.12551,0.10996,0.10267,0.09604,0.1157
765,0.09619,0.12564,0.11062,0.10276,0.09619,0.11575
764,0.09591,0.12527,0.11035,0.10265,0.09605,0.11554
763,0.09597,0.12533,0.1109,0.10285,0.09623,0.11539
