sample,dialysis_peak,centrifuge_peak,dialysis_redshift,centrifuge_redshift,dial_peak_height,cent_peak_height,dial_fwhm,cent_fwhm,dial_red_tail,cent_red_tail,dial_noise,cent_noise,dial_asymmetry,cent_asymmetry
0.115 MB MQW,519.469696969678,518.8943661971899,-0.5303030303219884,-1.1056338028100754,0.14895,0.1651,0.0,0.0,0.09696450980392156,0.048749607843137255,0.0009285877898436471,0.0007277683092977739,1.0031128404688765,0.9603539823002123
0.30 MB MQW,534.6851851851889,534.0138888888895,14.685185185188857,14.013888888889483,0.08406,0.09445,0.0,0.0,0.09130941176470588,0.10045960784313725,0.0007841725132980913,0.0006621476087567743,0.981185324552782,1.0511322132943115
0.115 MB As30,518.8392857142868,518.8953488372005,-1.1607142857131976,-1.1046511627995415,0.16181,0.16584,0.0,0.0,0.08034823529411765,0.04564313725490196,0.0020077885760175045,0.0007130077456461979,0.9657965796578579,0.9602571595566867
0.30 MB As30,528.9444444444313,529.0319148936186,8.94444444443127,9.031914893618591,0.11076,0.09013,0.0,0.0,0.1336827450980392,0.09439215686274509,0.002139745465609491,0.0005091306894667771,0.9554317548759436,1.0491894913357729
