,dialysis_mean,dialysis_sem,centrifuge_mean,centrifuge_sem,p_value,cohens_d,significant
redshift,5.484653078396235,3.8401448729007375,5.208879704224614,3.7845908810240823,0.264996036080842,0.03616729333242791,False
peak_height,0.126395,0.017794324235553317,0.12888,0.021144182415028488,0.7788747222499417,-0.0635837149452949,False
fwhm,0.0,0.0,0.0,0.0,,0,False
red_tail,0.10057622549019607,0.0115619042359616,0.07231112745098038,0.014566616272604768,0.11398391730708148,1.074689130915805,False
noise,0.0014650735861921834,0.0003536906588401826,0.0006530135882918807,4.9977733486600145e-05,0.12362279885959314,1.6075205621148583,False
asymmetry,0.9763816248888649,0.010362487044410623,1.005233211621746,0.025942024086877645,0.4324510181225958,-0.7303053655853099,False
